Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
we			1	81	2	1	1	8050.890	135.026	1.000	1.000	130.225	0.016
answer			2	45	0	1	0	4472.716	0.000	1.000	0.000	81.581	0.009
that			3	105	45	1	1	10436.338	3038.077	1.000	1.000	53.796	0.021
so			4	31	1	1	1	3081.205	67.513	1.000	1.000	48.309	0.006
question			4	31	1	1	1	3081.205	67.513	1.000	1.000	48.309	0.006
us			6	26	0	1	0	2584.236	0.000	1.000	0.000	47.106	0.005
one			7	33	2	1	1	3279.992	135.026	1.000	1.000	46.538	0.007
very			8	25	0	1	0	2484.842	0.000	1.000	0.000	45.293	0.005
is			9	348	305	1	1	34589.007	20591.412	1.000	1.000	44.942	0.065
correct			10	36	5	1	1	3578.173	337.564	1.000	1.000	40.010	0.007
We			11	22	0	1	0	2186.661	0.000	1.000	0.000	39.854	0.004
data			12	21	0	1	0	2087.268	0.000	1.000	0.000	38.041	0.004
because			13	25	1	1	1	2484.842	67.513	1.000	1.000	37.850	0.005
only			14	20	0	1	0	1987.874	0.000	1.000	0.000	36.228	0.004
have			15	40	12	1	1	3975.748	810.154	1.000	1.000	28.729	0.008
will			16	19	1	1	1	1888.480	67.513	1.000	1.000	27.510	0.004
since			17	20	2	1	1	1987.874	135.026	1.000	1.000	24.895	0.004
what			18	13	0	1	0	1292.118	0.000	1.000	0.000	23.543	0.003
picture			19	21	3	1	1	2087.268	202.538	1.000	1.000	23.061	0.004
if			20	31	9	1	1	3081.205	607.615	1.000	1.000	22.831	0.006
there			20	31	9	1	1	3081.205	607.615	1.000	1.000	22.831	0.006
he			22	11	0	1	0	1093.331	0.000	1.000	0.000	19.920	0.002
patients			23	28	9	1	1	2783.024	607.615	1.000	1.000	18.991	0.006
not			24	126	107	1	1	12523.606	7223.873	1.000	1.000	17.730	0.024
rule			25	19	4	1	1	1888.480	270.051	1.000	1.000	17.303	0.004
to			26	213	211	1	1	21170.858	14245.207	1.000	1.000	16.834	0.041
In			27	40	20	1	1	3975.748	1350.257	1.000	1.000	16.803	0.008
three			28	9	0	1	0	894.543	0.000	1.000	0.000	16.297	0.002
false			29	14	2	1	1	1391.512	135.026	1.000	1.000	15.369	0.003
think			30	8	0	1	0	795.150	0.000	1.000	0.000	14.486	0.002
you			30	8	0	1	0	795.150	0.000	1.000	0.000	14.486	0.002
discarded			30	8	0	1	0	795.150	0.000	1.000	0.000	14.486	0.002
answers			30	8	0	1	0	795.150	0.000	1.000	0.000	14.486	0.002
clear			34	11	1	1	1	1093.331	67.513	1.000	1.000	14.071	0.002
told			35	7	0	1	0	695.756	0.000	1.000	0.000	12.675	0.001
appear			35	7	0	1	0	695.756	0.000	1.000	0.000	12.675	0.001
even			35	7	0	1	0	695.756	0.000	1.000	0.000	12.675	0.001
probably			35	7	0	1	0	695.756	0.000	1.000	0.000	12.675	0.001
must			35	7	0	1	0	695.756	0.000	1.000	0.000	12.675	0.001
it			40	87	73	1	1	8647.252	4928.436	1.000	1.000	12.672	0.017
more			41	31	16	1	1	3081.205	1080.205	1.000	1.000	12.444	0.006
Answer			42	10	1	1	1	993.937	67.513	1.000	1.000	12.442	0.002
being			43	12	2	1	1	1192.724	135.026	1.000	1.000	12.320	0.002
seems			43	12	2	1	1	1192.724	135.026	1.000	1.000	12.320	0.002
I			45	21	8	1	1	2087.268	540.103	1.000	1.000	12.161	0.004
usually			46	27	13	1	1	2683.630	877.667	1.000	1.000	11.926	0.005
It			47	23	10	1	1	2286.055	675.128	1.000	1.000	11.533	0.005
much			48	6	0	1	0	596.362	0.000	1.000	0.000	10.864	0.001
MIR			48	6	0	1	0	596.362	0.000	1.000	0.000	10.864	0.001
know			48	6	0	1	0	596.362	0.000	1.000	0.000	10.864	0.001
nor			48	6	0	1	0	596.362	0.000	1.000	0.000	10.864	0.001
doubt			48	6	0	1	0	596.362	0.000	1.000	0.000	10.864	0.001
