Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
Option			1	99	8	1	1	6683.770	795.071	1.000	1.000	60.449	0.013
While			2	51	0	1	0	3443.154	0.000	1.000	0.000	52.946	0.007
likely			3	86	7	1	1	5806.103	695.687	1.000	1.000	52.317	0.012
s			4	151	32	1	1	10194.437	3180.282	1.000	1.000	45.127	0.020
symptoms			5	112	18	1	1	7561.437	1788.909	1.000	1.000	44.339	0.015
typically			6	50	2	1	1	3375.641	198.768	1.000	1.000	38.565	0.007
such			7	61	6	1	1	4118.282	596.303	1.000	1.000	33.777	0.008
suggests			8	39	1	1	1	2633.000	99.384	1.000	1.000	32.930	0.005
findings			9	36	1	1	1	2430.462	99.384	1.000	1.000	29.972	0.005
presentation			10	35	1	1	1	2362.949	99.384	1.000	1.000	28.989	0.005
diagnosis			11	104	25	1	1	7021.334	2484.596	1.000	1.000	26.346	0.014
as			12	141	42	1	1	9519.309	4174.120	1.000	1.000	25.224	0.019
along			13	24	0	1	0	1620.308	0.000	1.000	0.000	24.898	0.003
patient			14	153	48	1	1	10329.463	4770.423	1.000	1.000	24.719	0.020
further			15	23	0	1	0	1552.795	0.000	1.000	0.000	23.860	0.003
suggest			16	32	2	1	1	2160.410	198.768	1.000	1.000	21.607	0.004
most			17	86	22	1	1	5806.103	2186.444	1.000	1.000	19.877	0.012
Given			18	30	2	1	1	2025.385	198.768	1.000	1.000	19.781	0.004
Although			19	25	1	1	1	1687.821	99.384	1.000	1.000	19.267	0.003
disorder			19	25	1	1	1	1687.821	99.384	1.000	1.000	19.267	0.003
consistent			21	22	1	1	1	1485.282	99.384	1.000	1.000	16.404	0.003
potential			22	15	0	1	0	1012.692	0.000	1.000	0.000	15.558	0.002
particularly			22	15	0	1	0	1012.692	0.000	1.000	0.000	15.558	0.002
complication			24	13	0	1	0	877.667	0.000	1.000	0.000	13.483	0.002
potentially			25	12	0	1	0	810.154	0.000	1.000	0.000	12.445	0.002
vignette			25	12	0	1	0	810.154	0.000	1.000	0.000	12.445	0.002
conditions			25	12	0	1	0	810.154	0.000	1.000	0.000	12.445	0.002
absence			28	33	6	1	1	2227.923	596.303	1.000	1.000	11.603	0.004
neurological			29	11	0	1	0	742.641	0.000	1.000	0.000	11.408	0.001
leading			29	11	0	1	0	742.641	0.000	1.000	0.000	11.408	0.001
condition			31	27	4	1	1	1822.846	397.535	1.000	1.000	11.404	0.004
support			32	20	2	1	1	1350.257	198.768	1.000	1.000	10.960	0.003
against			33	16	1	1	1	1080.205	99.384	1.000	1.000	10.798	0.002
appropriate			34	26	4	1	1	1755.334	397.535	1.000	1.000	10.647	0.004
common			34	26	4	1	1	1755.334	397.535	1.000	1.000	10.647	0.004
less			36	39	9	1	1	2633.000	894.454	1.000	1.000	10.416	0.005
address			37	10	0	1	0	675.128	0.000	1.000	0.000	10.370	0.001
may			38	70	23	1	1	4725.898	2285.828	1.000	1.000	10.201	0.009
and			39	487	262	1	1	32878.747	26038.561	1.000	1.000	9.757	0.063
can			40	69	23	1	1	4658.385	2285.828	1.000	1.000	9.734	0.009
However			41	30	6	1	1	2025.385	596.303	1.000	1.000	9.536	0.004
laboratory			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
abnormalities			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
coupled			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
crucial			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
tissue			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
suggested			42	9	0	1	0	607.615	0.000	1.000	0.000	9.333	0.001
presented			48	37	9	1	1	2497.975	894.454	1.000	1.000	9.190	0.005
Based			49	14	1	1	1	945.180	99.384	1.000	1.000	8.981	0.002
levels			50	17	2	1	1	1147.718	198.768	1.000	1.000	8.464	0.002
often			50	17	2	1	1	1147.718	198.768	1.000	1.000	8.464	0.002
history			52	38	10	1	1	2565.487	993.838	1.000	1.000	8.386	0.005
essential			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
argues			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
immediate			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
feature			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
commonly			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
primarily			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
coagulation			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
AIHA			53	8	0	1	0	540.103	0.000	1.000	0.000	8.296	0.001
might			61	13	1	1	1	877.667	99.384	1.000	1.000	8.087	0.002
case			62	94	38	1	1	6346.206	3776.585	1.000	1.000	7.817	0.013
elevated			63	22	4	1	1	1485.282	397.535	1.000	1.000	7.732	0.003
old			64	16	2	1	1	1080.205	198.768	1.000	1.000	7.655	0.002
specific			65	19	3	1	1	1282.744	298.151	1.000	1.000	7.609	0.003
characterized			66	24	5	1	1	1620.308	496.919	1.000	1.000	7.278	0.003
malignancy			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
supported			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
generally			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
including			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
depressive			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
ray			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
proteinuria			67	7	0	1	0	472.590	0.000	1.000	0.000	7.259	0.001
context			74	12	1	1	1	810.154	99.384	1.000	1.000	7.203	0.002
